Universidad,U-Ranking BBVA (2017) (ranking sobre 61 universidades),"Webometrics
España
(2017)
(sobre 252 universidades)","Webometrics Mundo
(2017)
(ranking sobre 11.995 universidades)","El Mundo
(2011/2012)
(ránkin sobre 71 universidades)","InternetLab
(2007)
(ránkin sobre 100 universidades)","4icu
(mayo de 2010)
(ránkin sobre 72 universidades)","El País
(2013)
(Top 10 docencia)","El País
(2013)
(Investigación)"
Universidad Pompeu Fabra,1,11 - 334,,9,19,43,,7
Universidad Politécnica de Cataluña,2,7 - 259,,6,8,12,,
Universidad Carlos III de Madrid,3,18 - 377,,8,28,15,,
Universidad Politécnica de Valencia,3,10 - 296,,13,9,7,,10
Universidad Rovira i Virgili,3,54 - 1798,,35,55,53,,2
Universidad Autónoma de Madrid,4,5 - 240,,4,12,13,,5
Universidad de Cantabria,4,36 - 757,,35,35,50,,
Universidad Autónoma de Barcelona,4,6 - 247,,2,5,20,,
Universidad de Deusto,5,41 - 969,,24,45,32,,
Universidad de Navarra,5,23 - 444,,7,18,41,1,1
Universidad Miguel Hernández de Elche,5,43 - 1055,,36,39,72,,
Universidad de Santiago de Compostela,5,14 - 424,,16,22,21,9,4
Universidad de Barcelona,5,1 - 141,,3,1,2,,
Universidad de las Islas Baleares,5,15 - 347,,27,17,25,,
Universidad de Valencia,5,3 - 209,,17,4,5,,8
Universidad de Mondragón,6,49 - 2476,,36,68,62,,
Universidad de Alcalá de Henares,6,35 - 753,,14,43,23,,
Universidad Francisco de Vitoria,6,-,,36,-,61,,
Universidad de Alicante,6,39 - 887,,36,42,24,,
Universidad de Almería,6,44 - 1076,,28,46,46,,
Universidad de Córdoba,6,30 - 629,,36,38,45,4,6
Universidad de Murcia,6,13 - 415,,29,11,10,,
Universidad de Zaragoza,6,12 - 342,,23,15,11,7,
Universidad del País Vasco,6,15 - 431,,21,11,10,,
Universidad Pablo de Olavide,6,,,,,,,
Universidad Antonio de Nebrija,,,,35,69,64,,
Universidad Complutense de Madrid,26,2 - 205,,1,9,9,,
Universidad de Granada,7,4 - 209,,12,7,2,3,
Universidad de Sevilla,24,9 - 287,,20,2,4,4 - 200,8
Universidad Europea Miguel de Cervantes,62,-,,36,10,30,,
Universidad de La Rioja,41,28 - 502,,36,40,3,,
Universidad de Oviedo,4,24 - 452,,35,16,19,,3
Universidad Politécnica de Madrid,27,8 - 283,,5,9,13,,
Universidad de Salamanca,6,19 - 421,,11,23,18,,
Universidad Rey Juan Carlos,56,42 - 986,,25,37,22,,
Universidad de Cádiz,35,10 - 276,,15,10,9,,
Universidad de Valladolid,12,20 - 426,,34,9,11,,
Universidad Ramon Llull,55,67 - 4008,,10,63,47,,
Universidad de La Laguna,38,32 - 646,,26,31,44,,
Universidad de Málaga,36,16 - 467,,31,25,14,,
Universidad Nacional de Educación a Distancia,-,25 - 478,,36,14,-,,
Universidad de Vigo,46,14 - 346,,34,27,26,,
Universidad de Castilla-La Mancha,28,17 - 491,,23,29,16,,
Universidad Pública de Navarra,17,48 - 1248,,35,48,33,6,
Universidad Pontificia Comillas,25,55 - 1805,,18,59,57,8,
Universidad de La Coruña,44,29 - 541,,19,32,29,,
Universidad Pablo de Olavide,19,50 - 1460,,35,58,51,,9
Universidad Jaume I de Castellón,30,22 - 433,,30,20,40,,
Universidad de Lérida,20,38 - 862,,34,36,56,,
Universidad de Gerona,22,37 - 829,,28,56,27,,
Universidad CEU San Pablo,57,52 - 1657,,22,52,55,,
Universidad de Extremadura,49,33 - 665,,23,26,30,,
Universidad de León,23,40 - 916,,33,44,28,,
Universidad de Burgos,43,47 - 1238,,-,36,23,,
Universidad Internacional de Cataluña,29,66 - 3749,,36,67,60,,
Universidad de Las Palmas de Gran Canaria,48,34 - 674,,36,30,42,,
Universidad Abierta de Cataluña,-,31 - 635,,36,41,-,,
Universidad de Jaén,47,51 - 1652,,36,53,31,,
Universidad Alfonso X el Sabio,-,68 - 4100,,32,70,34,,
Universidad CEU Cardenal Herrera,59,60 - 2763,,34,64,59,,
Universidad de Vich,61,63 - 2899,,36,75,35,,
Universidad Europea de Madrid,60,57 - 2023,,35,54,49,,
Universidad Católica San Antonio de Murcia,-,58 - 2347,,36,62,-,,
Universidad Católica de Valencia San Vicente Mártir,-,72 - 4701,,36,73,67,,
Universidad Camilo José Cela,-,76 - 5127,,36,78,68,,
Universidad Internacional de Andalucía,-,61 - 2806,,36,-,37,,
IE University,54,46 - 1343,,36,81,39,,
Universidad Católica Santa Teresa de Jesús de Ávila,-,78 - 5275,,36,88,-,
Universidad de Huelva,50,45 - 1148,,36,47,48,,
Universidad Politécnica de Cartagena,40,53 - 1713,,36,60,52,,
Universidad Abad Oliva CEU,45,-,,36,94,65,,
Universidad Pontificia de Salamanca,52,64 - 3311,,36,65,63,,
Universidad San Jorge,58,-,,36,-,-,,
